Timestamp,Sleep,Wake,Sleep Quality,Waking Energy,Work,Focused Learning,System Architecture,Skill practicing,Physical Endeavors,Scrolling,jorking,Passive media ,Active Media,Dominant Emotion ,Dominant Emotion,NIC,CAF,ALC,L-TY,WE,MISC
6/30/2025,2:00:00 AM,11:00:00 AM,4,9,5,120,20,60,0,33,1,60,180,0,6,3,0,0,0,0,"Pain in left knee from run on sunday biggest ""concern"" "
7/1/2025,12:00:00 AM,6:00:00 AM,6,10,5,0,40,10,90,30,2,53,15,4,8,0,100,0,0,0,Work up goal oriented when I got sleepy took shower but idled while nasal rinse. But then unexpected turn with regards to model for AC
7/2/2025,12:00:00 AM,6:00:00 AM,4,8,5,0,30,0,100,40,2,90,75,2,8,0,100,0,0,0,Had a slight discussion with superviser but i sensed the limit to which i could rebuttal without hard feelings. Smooth it over later by asking for advice and working hard.
7/3/2025,5:00:00 AM,7:45:00 AM,8,4,0,60,10,0,0,0,2,90,180,0,10,0,0,0,0,0,Had to catch a flight lost track of time reason for late night and early morning. 
7/4/2025,3:00:00 AM,11:30:00 AM,7,4,0,30,20,0,30,30,1,40,260,2,8,0,0,0,0,0,Had a headache 
7/5/2025,3:00:00 AM,11:30:00 AM,8,3,0,180,40,0,120,40,3,120,90,3,4,3,100,0,0,0,Helped dad implement app idea and got guitar 
7/6/2025,3:00:00 AM,10:30:00 AM,7,7,0,120,10,50,90,30,1,5,360,3,4,3,0,0,0,0,Went to church 
7/7/2025,3:00:00 AM,12:00:00 AM,7,3,0,0,0,10,0,60,1,60,60,3,6,0,0,0,0,0,asked for extension vacation 
7/8/2025,2:00:00 AM,11:00:00 AM,7,2,0,0,0,20,30,60,2,120,120,3,8,0,0,0,0,0,Went to the beach 
7/9/2025,6:00:00 AM,1:30:00 PM,8,2,0,40,20,30,0,30,5,240,45,-4,8,6,0,8,0,0," ""Gooned for 3 hours, man pulled up, ran home."""
7/10/2025,5:00:00 AM,1:30:00 PM,7,2,0,0,0,30,0,40,4,120,10,0,8,0,0,0,0,0,aftermath of the day was just chilling with parents guitar eating playing pool 
7/11/2025,6:00:00 AM,12:00:00 PM,8,3,0,30,15,45,0,60,4,180,84,3,6,0,0,9,0,0,Had a conversation about moral obligation becoming manipulation with dad. Danced with mom. Had Lucid dreams
7/12/2025,5:00:00 AM,10:30:00 AM,7,7,0,0,0,0,0,30,2,180,270,3,6,0,100,0,0,0,last day with family before returning to dorm
7/13/2025,3:00:00 AM,1:40:00 PM,8,6,0,50,60,0,0,40,2,160,53,-5,8,0,0,0,0,0,Had a slight existential crisis when thinking about career future but collected my thoughts via AI and have devised new plan forward 
7/14/2025,12:30:00 AM,6:00:00 AM,6,7,3,90,20,90,0,40,1,115,60,3,8,0,100,0,0,0,Good interactions with coworkers despite halitosis good feedback. Started on track for resume building. 
7/15/2025,12:00:00 AM,6:00:00 AM,2,4,2,0,87,10,0,30,3,80,60,3,6,0,100,0,0,0,Low sleep led to sleep after work. Ended up doing system architecture. Hypothesis: Low energy days may be high level synthesis prone.
7/16/2025,12:30:00 AM,6:00:00 AM,6,6,1,70,50,30,60,20,2,60,50,3,2,0,100,0,0,0,Almost perfect day no down time each block of time was spent on working on an optimal choice. 
7/17/2025,12:00:00 AM,6:00:00 AM,8,3,2,180,45,40,0,20,1,190,70,5,8,6,100,0,0,0,Achieved a gold standard session of 3 hours. Reached lull from sleep deprivation but used nic pouch and goal setting to revamp energy.
7/18/2025,2:00:00 AM,9:30:00 AM,8,1,0,40,160,200,0,30,1,200,23,3,4,0,0,0,0,0,Chill day worked on creative and organizational 
7/19/2025,2:20:00 AM,12:30:00 AM,7,1,0,0,120,120,0,60,1,150,40,1,2,0,0,0,0,0,Rest day recovering for week did some planning and a little drawing.
7/20/2025,3:00:00 AM,3:00:00 AM,8,4,0,60,120,15,0,60,2,100,0,-2,6,3,0,0,0,0,"Went to ENT and got told I need to see dentist, issue still at large. Had to accept fault and readapt strategy."
7/21/2025,11:30:00 AM,6:00:00 AM,1,4,2,30,90,20,0,60,2,80,90,3,6,0,200,0,0,0,Got good feedback from briefing page at dentist and have updated the case to include the findings. 
7/22/2025,11:30:00 AM,6:00:00 AM,7,7,2,120,120,30,0,60,1,170,120,-1,3,0,0,0,0,0,Hypothesis: Cognitive stimulation that is challenging invites reenergizing despite lack of stimulants and low sleep time (6 hours). Case: No stimulants today felt quite fatigued and mentally drained until I started playing chess and got a brilliant move and felt revamped.
7/23/2025,11:30:00 AM,6:00:00 AM,6,7,2,90,180,20,0,20,1,56,65,1,6,3,0,0,0,0,Hypothesis: Better sleep ( quality and duration) leads to resilience to cheap and preference for cognitively challenging activities. Hypothesis: after work nap coupled with large dinner can lead to higher activation required for deep block.
7/24/2025,1:00:00 AM,6:00:00 AM,7,5,3,240,115,0,50,20,1,110,27,2,8,3,100,0,0,0,Caffeine despite sleep deprivation promotes high objective oriented state and easily entering flow state. Nicotine increases cognitive speed for conceptual passes.
7/25/2025,2:00:00 AM,8:30:00 AM,7,3,0,290,79,30,0,80,1,150,90,0,7,6,0,0,500,0,Mid day naps that are in deep sleep cause prolonged sleep inertia. Decomposing complexity may help with inducing flow state. Nicotine great catalyst for jump starting a null/lull state.
7/26/2025,3:20:00 AM,12:30:00 AM,8,9,0,90,90,30,0,20,1,120,48,2,3,0,0,0,0,0,"Restorative sleep led to organic flow state, and Paradigm shift resulted in no second cognitive block."
7/27/2025,11:00:00 PM,10:00:00 AM,6,6,0,210,70,10,0,15,2,80,40,0,3,3,0,0,0,0,"During high cognitive overload (SGT derivations) did a ""circuit"" break of playing chess and managed to breakthrough. Happened twice. "
7/29/2025,11:00:00 AM,6:00:00 AM,4,7,2,90,197,0,60,10,0,60,60,3,6,0,0,0,0,0,Continued conceptual development of Cognitve SaaS finished EDA phase and derived 3 main behavioral profiles. Understood that social interaction requries commitment to reduce all parties anxiety
7/30/2025,12:30:00 AM,6:00:00 AM,7,4,3,0,144,1,0,10,2,40,60,2,4,0,0,0,0,0,ENT appointment told me no halitosis. Had conversation with uber driver for 40 minutes no issues. Emotion-lag still in place have been starting to adopt commit method in social scenarios. Still emotionally processing the shift.
8/1/2025,12:30:00 AM,6:00:00 AM,4,4,2,60,170,10,0,5,0,30,65,-1,3,3,100,0,0,0,N/A
8/1/2025,12:00:00 AM,6:00:00 AM,8,5,0,130,65,10,0,10,1,130,155,0,2,3,0,0,1000,0,Low energy day dealing with fiberglass in hands. Found new protocols dopamine mining and positive paradigm invalidation. Via praise from peer review chat on my current IRL state and novel ideas
8/2/2025,1:00:00 AM,10:00:00 AM,8,7,0,285,60,20,0,15,1,300,30,-2,3,3,0,0,0,0,"Listed several factors that caused emotional disregulation. From chess loss outburst to mental simulation causing agitation Due to caloric deficit, low sleep, during week, slightly sick."
8/3/2025,2:00:00 AM,11:30:00 AM,7,5,0,0,270,0,0,10,1,100,30,1,3,0,0,0,0,0,Found Achitect vs archaeologist cognitive work. set up a complete learning plan for the next month for the fundamentals of The Actor. Cognitive IDE is the crown jewel we are showing the cognitive framework/pipeline of my architect ability formalized and The Actor is the high-end product to showcase the validity of the pipeline.
8/5/2025,2:00:00 AM,6:00:00 AM,2,6,1,60,240,20,0,10,1,30,30,1,7,6,100,0,0,0,"Tried to push through via discipline protocol utter failure low working memory, slow session and frustration. Should of gone to bed. "
8/6/2025,12:00:00 AM,6:00:00 AM,6,6,1,120,150,10,0,10,1,30,10,2,5,3,0,0,0,0,"the successful ""Forced Recharge,"" the power of the ""Organic Spin-Up,"" the resilience to interruption, and the final, high-quality flow state. "
8/7/2025,12:00:00 AM,6:00:00 AM,3,6,2,158,10,0,0,30,1,120,10,1,3,0,100,0,0,0,Despite full day of work and 6 hours of sleep. Afternoon nap -> lull state allowed for quieted PFC such that flow state on a perceived low activation task allowed for flow state and subsequent increases in cognitive activity.
8/8/2025,11:00:00 AM,6:00:00 AM,6,6,3,160,40,15,50,10,1,110,30,1,3,3,0,0,0,0,Strongest flow state did about 2.5 hours of continuous focused work. After finishing was disorientated for a couple minutes.
8/8/2025,12:00:00 AM,6:00:00 AM,7,7,3,0,120,20,60,20,3,90,20,1,2,3,100,0,0,0,confirmed existence of inertia farming and that creative synthesis takes precedence over scheduled archaeologist task
8/9/2025,1:30:00 AM,11:30:00 AM,6,7,0,90,150,20,0,30,3,310,40,0,2,3,0,0,0,0,Identified that nicotine pouch induces relaxation that removes the physical restlessness when learning. And increases cognitive power for task at hand.
8/10/2025,1:00:00 AM,9:30:00 AM,7,8,0,200,90,0,0,30,1,120,15,-1,4,3,100,0,0,0,Did advanced a lot in week one deliverables but reviewed my work in a rigorous light via the echo chamber auditor and its subsequent critic and skeptic creations and realized that I have a lot to do to truly show mastery and also that the how is as critical as the why and what and I have been putting off and also been creating an echo chamber via my chats regarding the laudatory La language and the proper assessment of my work of synthesis the lack of ability to formalize it and the lack of ability to directly implement it in code. Essentially trying to stop the architects trap from developing further before it’s too late.
8/11/2025,11:00:00 AM,6:00:00 AM,3,7,3,137,60,0,50,20,1,80,20,-1,4,3,0,0,0,0,Started paradigm shift to reduce the architects trap.
8/12/2025,11:00:00 PM,6:00:00 AM,7,6,3,300,15,0,0,15,1,80,0,4,8,6,0,0,0,0,Did 300 minute cognitive blcok on dynamic programming in RL using auditory enhancements along with stimulants (hard tehcno + nicotine pouch) 
8/13/2025,11:00:00 PM,6:00:00 AM,4,4,2,0,40,0,50,40,2,60,0,0,4,0,100,0,0,0,Tired from 5 hour block yesterday
8/14/2025,11:00:00 PM,6:00:00 AM,5,4,1,120,90,0,0,20,1,60,30,-2,5,0,0,0,0,0,Woke up at 04 with grueling stomach ache went to work until 09:30. Revised implementation toll and felt better about outlook. 
8/15/2025,11:00:00 PM,6:00:00 AM,6,6,1,120,120,0,60,40,2,120,45,-1,4,6,0,0,500,0,earlier day off only worked till 10:30 
8/16/2025,1:30:00 AM,11:00:00 AM,6,5,0,30,240,20,30,120,3,360,150,-3,7,3,0,0,500,0,Dealing with intestinal issues from wednesday cant do work detered by new adversarial protocl. Motivational collapse.
8/17/2025,12:30:00 AM,9:30:00 AM,7,6,0,0,150,10,0,360,3,200,90,-4,8,0,0,0,0,0,Still dealing with stomach issues completely procedural collapse. Reconsiderations if validty of entire endevour
8/18/2025,12:30:00 AM,6:00:00 AM,7,5,2,0,210,20,0,40,2,30,30,0,4,0,0,0,0,0,Tried rekindlgy via senior advisor chat and revised implementation tooll to AI blackout
8/19/2025,12:30:00 AM,6:00:00 AM,7,7,1,30,180,25,0,40,2,180,30,1,4,0,0,0,0,0,Formalized the effort reward and prediction error induced exploration. feel that motivational collapde has been hurdled
8/20/2025,12:30:00 AM,7:30:00 AM,6,7,3,50,120,0,80,30,1,60,50,1,3,0,0,0,0,0,Improved digestive condition and recalibrated information flow. Motivation regained under phoenix protocol 
8/21/2025,12:30:00 AM,6:00:00 AM,6,6,1,0,120,20,50,60,2,120,30,0,3,0,0,0,0,0,finished last full day of work
8/22/2025,12:30:00 AM,6:00:00 AM,6,8,1,50,100,30,50,30,1,220,0,1,4,0,0,0,0,0,gettig ready for trip was excited about finishing work and starting trip.
8/23/2025,10:30:00 PM,9:30:00 AM,8,6,0,150,30,0,0,10,0,30,20,2,4,20,0,8,0,0,went to family gathering and had good interactions 
8/24/2025,5:30:00 AM,2:00:00 PM,7,4,0,180,70,0,0,30,1,60,10,-1,3,3,0,0,0,0,chill day aftermath of going out. Stilll got some work done
8/25/2025,3:00:00 AM,11:00:00 AM,9,7,0,182,0,0,0,20,1,30,10,0,1,0,0,0,0,0,probably woke up at 11 or 10 went to grandmas at about 12 or 1 came back and worked on my stuff once again ill have to check screen time and extension went to sleep at like 12- 3 im not sure 
8/26/2025,3:00:00 AM,10:30:00 AM,8,4,0,200,30,0,0,20,1,150,18,-5,10,30,0,12,0,0,Long day had several drinks and significant altercation that caused retrieval of traumatic events to prove validation.
8/27/2025,5:30:00 AM,11:00:00 AM,8,4,0,120,120,0,0,15,1,60,36,-2,8,9,0,5,0,0,Low energy and sociability due to previous nights altercation. 
8/28/2025,3:00:00 AM,11:00:00 AM,6,3,0,150,120,0,0,20,2,40,60,1,4,30,0,19,0,0,Closed quarters social managed to rekindle conversation and was basically mediator. 
8/29/2025,6:00:00 AM,12:00:00 PM,10,2,0,0,60,0,0,30,3,60,25,3,10,30,0,18,0,0,Went out with cousins clubbing drank a lot 
8/30/2025,4:00:00 AM,10:00:00 AM,8,6,0,0,60,0,0,30,3,10,20,0,4,30,0,3,0,0,final day went to dinner with grandma. The usage of nicotine definitely helped throughout the week for waking up. Which probably created a sort of energy debt. 
8/31/2025,3:00:00 AM,5:00:00 AM,1,4,0,0,240,0,0,50,1,180,0,1,2,5,0,0,0,0,Travelled back home very litle sleep threw away vape. reinitializing campus state.
9/1/2025,11:00:00 PM,2:00:00 PM,7,5,0,0,240,30,0,60,1,200,0,0,3,0,0,0,0,0,Messed up my neck been dealing with hat and fixing up the system for pre loading course material. and defining my final projects for each class.
9/2/2025,2:00:00 AM,3:00:00 PM,7,6,0,0,160,15,0,120,2,210,10,1,5,3,0,0,0,0,subsiding neck pain didnt go to class but finalized work flow 
9/3/2025,2:00:00 AM,3:00:00 PM,8,7,0,90,100,0,40,20,1,90,0,1,3,3,0,0,0,0,final day of neck issues will be going to class tomorrow formalized some nice ideas for aegis and proposed project ideas for classes.
9/4/2025,11:00:00 AM,8:30:00 AM,2,9,0,60,180,0,60,40,1,60,0,2,3,0,0,0,0,0,refining sounding board for academics
9/5/2025,12:00:00 AM,8:00:00 AM,6,6,0,180,90,0,50,40,1,140,0,2,4,6,0,0,0,0,Have been executing plans to steer outcomes toward desired goals consistently. Figuring out schedule but have a strong system set up to succeed. 
9/6/2025,1:00:00 AM,12:30:00 PM,8,7,0,120,90,20,20,30,1,60,20,1,4,3,100,0,0,0,Finished MVP for one class still working on one for the other. Going to try system this weekend for cognitive pre load. So far key issue is eating too much and causing a post prandial dip. So ive been pushing back on that. 
9/7/2025,5:00:00 AM,12:30:00 AM,7,4,0,120,60,20,0,60,2,180,10,1,3,0,0,0,0,0,Chill day just recovery
9/8/2025,2:00:00 AM,8:45:00 AM,7,7,0,140,40,0,50,50,1,70,13,2,4,3,0,0,0,0,Felt good today felt confident.
9/9/2025,1:00:00 AM,8:00:00 AM,7,6,0,60,120,20,0,120,2,62,16,0,3,3,0,0,0,0,I dont remember
9/10/2025,11:00:00 PM,5:00:00 AM,6,7,0,120,120,15,60,100,2,170,69,-1,6,6,100,0,0,0,I dont remember
9/11/2025,6:00:00 AM,3:30:00 PM,10,3,0,240,60,0,80,120,1,140,33,1,2,9,100,0,0,0,Finished comp geo hw at like 6 am
9/12/2025,12:00:00 AM,12:00:00 AM,1,1,0,250,0,0,60,180,2,270,90,0,10,6,100,0,0,0,Couldn't fall asleep so stayed up all night about 40 hours awake
9/13/2025,3:00:00 AM,2:00:00 PM,8,2,0,60,120,0,60,120,2,50,30,-1,3,15,6,0,0,15,Went to party had alc and j with some nic
9/14/2025,6:00:00 AM,1:30:00 PM,8,4,0,120,120,0,120,100,1,90,14,3,5,0,0,0,0,0,played some intramural matches and socialized
9/15/2025,5:00:00 AM,10:30:00 AM,1,3,0,60,60,0,0,40,1,352,70,-2,3,6,0,0,0,0,Still had some PDI issues and couldnt sleep
9/16/2025,1:00:00 AM,11:00:00 AM,8,3,0,100,100,0,60,30,2,120,54,-1,3,6,0,0,0,0,Chill day still managing sleep deprivation
9/17/2025,1:00:00 AM,10:45:00 AM,7,6,0,150,60,0,60,120,2,160,45,0,4,6,0,0,0,0,Just worked on hw
9/18/2025,1:00:00 AM,8:00:00 AM,8,5,0,150,120,0,45,120,2,90,70,2,5,9,200,0,0,0,Had several social interactions that were good. And felt accomplished in a way. 